id,name
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:0,CPU L1数据缓存物理损坏
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:1,CioStream socket
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:2,ciod守护进程
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:3,Ethernet控制网络
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:4,控制节点 (172.16.96.116)
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:5,套接字重置或断开
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:6,控制节点与计算节点间的以太网链路通信故障
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:7,rts panic
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:8,Runtime System (RTS)
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:9,stopping execution
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:10,内核堆栈回溯与Dump
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:11,内核运行时系统不可恢复内部异常
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:12,data TLB error
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:13,Translation Lookaside Buffer
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:14,Memory Management Unit (MMU)
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:15,地址转换失效
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:16,RAS KERNEL FATAL
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:17,麒麟操作系统
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:18,银河麒麟系统
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:19,SDA1
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:20,SDA2
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:21,BIOS
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:22,GHOST镜像
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:23,安装问题
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:24,CALL TRACE
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:25,安装时间
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:26,文件复制
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:27,GHOST
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:28,FT2000
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:29,PXE
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:30,光驱/U盘
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:31,语言设置
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:32,中文
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:33,英文
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:34,自动化安装
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:35,启动
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:36,复制文件
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:37,银河麒麟
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:38,BUSYBOX
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:39,SSH服务
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:40,图形界面登录闪退
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:41,忘记用户密码
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:42,ROOT用户
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:43,用户组
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:44,激活问题
4:39f237ed-2fb5-4c66-bb15-f4f843b55450:45,配置文件
